Image Quality Evaluation Report
Date: 2025-01-29 16:48:38
Directory: ./results/deeplesion
HU Range: [-1000 3000]

Image          Mask      PSNR (dB)      SSIM           
-------------------------------------------------------
img_078        01          41.78         0.9936
img_078        02          33.90         0.9851
img_078        03          37.50         0.9897
img_078        04          46.71         0.9959
img_078        05          45.41         0.9961
img_078        06          43.95         0.9951
img_078        07          36.67         0.9913
img_078        08          34.93         0.9867
img_078        09          42.86         0.9946
img_078        10          43.73         0.9948
img_177        01          35.05         0.9917
img_177        02          30.94         0.9835
img_177        03          28.86         0.9799
img_177        04          46.86         0.9968
img_177        05          48.02         0.9975
img_177        06          47.17         0.9972
img_177        07          41.16         0.9952
img_177        08          36.10         0.9897
img_177        09          44.80         0.9962
img_177        10          46.06         0.9963
img_182        01          38.98         0.9925
img_182        02          35.57         0.9848
img_182        03          38.02         0.9893
img_182        04          44.51         0.9944
img_182        05          42.68         0.9954
img_182        06          44.43         0.9947
img_182        07          32.28         0.9863
img_182        08          29.04         0.9747
img_182        09          43.81         0.9941
img_182        10          42.93         0.9941
img_067        01          40.20         0.9922
img_067        02          33.96         0.9841
img_067        03          37.29         0.9887
img_067        04          44.22         0.9945
img_067        05          44.69         0.9949
img_067        06          44.41         0.9949
img_067        07          32.85         0.9870
img_067        08          29.40         0.9753
img_067        09          42.91         0.9934
img_067        10          42.31         0.9932
img_001        01          40.10         0.9930
img_001        02          38.68         0.9894
img_001        03          38.14         0.9908
img_001        04          47.01         0.9950
img_001        05          47.53         0.9958
img_001        06          44.03         0.9948
img_001        07          40.56         0.9917
img_001        08          37.76         0.9876
img_001        09          42.66         0.9939
img_001        10          44.44         0.9939
img_147        01          41.01         0.9938
img_147        02          35.21         0.9859
img_147        03          39.86         0.9913
img_147        04          45.30         0.9954
img_147        05          43.66         0.9960
img_147        06          45.71         0.9961
img_147        07          33.74         0.9869
img_147        08          30.29         0.9753
img_147        09          44.46         0.9952
img_147        10          45.69         0.9956
img_080        01          39.65         0.9936
img_080        02          28.04         0.9706
img_080        03          42.18         0.9935
img_080        04          48.50         0.9964
img_080        05          49.40         0.9969
img_080        06          48.62         0.9965
img_080        07          43.22         0.9943
img_080        08          39.74         0.9910
img_080        09          47.47         0.9960
img_080        10          46.82         0.9957
img_054        01          44.44         0.9956
img_054        02          38.76         0.9906
img_054        03          41.50         0.9938
img_054        04          45.44         0.9947
img_054        05          47.72         0.9965
img_054        06          45.97         0.9960
img_054        07          41.26         0.9939
img_054        08          36.44         0.9880
img_054        09          43.43         0.9940
img_054        10          43.66         0.9936
img_151        01          38.99         0.9915
img_151        02          31.56         0.9842
img_151        03          36.71         0.9892
img_151        04          44.85         0.9948
img_151        05          47.25         0.9959
img_151        06          45.29         0.9956
img_151        07          32.09         0.9872
img_151        08          29.36         0.9772
img_151        09          43.40         0.9940
img_151        10          43.43         0.9938
img_043        01          39.68         0.9941
img_043        02          32.54         0.9858
img_043        03          34.20         0.9891
img_043        04          43.22         0.9955
img_043        05          47.50         0.9967
img_043        06          46.64         0.9962
img_043        07          37.26         0.9919
img_043        08          36.75         0.9896
img_043        09          43.84         0.9955
img_043        10          45.60         0.9957
img_145        01          42.35         0.9935
img_145        02          35.42         0.9850
img_145        03          38.87         0.9905
img_145        04          44.93         0.9946
img_145        05          43.98         0.9954
img_145        06          44.99         0.9949
img_145        07          32.27         0.9869
img_145        08          29.12         0.9759
img_145        09          43.79         0.9938
img_145        10          42.86         0.9936
img_196        01          39.08         0.9927
img_196        02          36.35         0.9886
img_196        03          34.72         0.9878
img_196        04          43.42         0.9944
img_196        05          42.74         0.9953
img_196        06          41.73         0.9946
