Model: InDuDoNetPlus - Image Quality Evaluation by Metal Size
Date: 2025-05-12 15:39:11
Results Base Directory: /home/mcosta/PycharmProjects/InDuDoNet_plus/results/deeplesion
Structure: Nested (GT: Xgt, ModelOut: X)
Forced HU eval for image files: True
HU eval range used: [-1000, 3000]
Total files iterated: 2000
Total files with metrics collected: 2000

--- Metrics by Metal Size Group (mean ± std) ---
Group Label                   Count           PSNR(img)             SSIM(img)            PSNR(hu)              SSIM(hu)
-----------------------------------------------------------------------------------------------------------------------
Large       ({1338, 3119}px)    400       35.18 ± 3.84         0.9760 ± 0.0066                 N/A                   N/A
Large-Med   ({688, 1329}px)     400       38.35 ± 3.75         0.9849 ± 0.0041                 N/A                   N/A
Medium      ({182, 371}px)      400       43.64 ± 3.13         0.9911 ± 0.0021                 N/A                   N/A
Med-Small   ({171, 180}px)      400       46.19 ± 2.44         0.9929 ± 0.0020                 N/A                   N/A
Small       ({54, 84}px)        400       46.33 ± 1.84         0.9932 ± 0.0013                 N/A                   N/A
-----------------------------------------------------------------------------------------------------------------------

--- Overall Summary (mean ± std across all successfully processed files) ---
PSNR(img): 41.94 ± 5.42 (from 2000 images)
SSIM(img): 0.9876 ± 0.0076
PSNR(hu): N/A (no valid HU data processed)
SSIM(hu): N/A (no valid HU data processed)

--- Individual File Metrics Log ---
Identifier                     MaskIdx  MaskArea   Group   PSNR(img)   SSIM(img)    PSNR(hu)    SSIM(hu)
--------------------------------------------------------------------------------------------------------
img_001/mask_01.png                  0       371      G3       41.35      0.9903         nan         nan
img_001/mask_02.png                  1      1338      G5       39.93      0.9824         nan         nan
img_001/mask_03.png                  2       688      G4       39.39      0.9860         nan         nan
img_001/mask_04.png                  3        84      G1       48.26      0.9924         nan         nan
img_001/mask_05.png                  4       171      G2       48.78      0.9938         nan         nan
img_001/mask_06.png                  5        54      G1       45.28      0.9924         nan         nan
img_001/mask_07.png                  6      1329      G4       41.81      0.9860         nan         nan
img_001/mask_08.png                  7      3119      G5       39.01      0.9766         nan         nan
img_001/mask_09.png                  8       182      G3       43.90      0.9912         nan         nan
img_001/mask_10.png                  9       180      G2       45.69      0.9905         nan         nan
img_002/mask_01.png                  0       371      G3       43.46      0.9890         nan         nan
img_002/mask_02.png                  1      1338      G5       40.82      0.9808         nan         nan
img_002/mask_03.png                  2       688      G4       40.44      0.9863         nan         nan
img_002/mask_04.png                  3        84      G1       41.63      0.9913         nan         nan
img_002/mask_05.png                  4       171      G2       44.19      0.9937         nan         nan
img_002/mask_06.png                  5        54      G1       44.26      0.9917         nan         nan
img_002/mask_07.png                  6      1329      G4       40.22      0.9855         nan         nan
img_002/mask_08.png                  7      3119      G5       38.46      0.9771         nan         nan
img_002/mask_09.png                  8       182      G3       43.57      0.9902         nan         nan
img_002/mask_10.png                  9       180      G2       44.02      0.9899         nan         nan
img_003/mask_01.png                  0       371      G3       42.56      0.9902         nan         nan
img_003/mask_02.png                  1      1338      G5       37.12      0.9824         nan         nan
img_003/mask_03.png                  2       688      G4       38.65      0.9870         nan         nan
img_003/mask_04.png                  3        84      G1       47.94      0.9929         nan         nan
img_003/mask_05.png                  4       171      G2       44.02      0.9927         nan         nan
img_003/mask_06.png                  5        54      G1       44.87      0.9928         nan         nan
img_003/mask_07.png                  6      1329      G4       42.87      0.9876         nan         nan
img_003/mask_08.png                  7      3119      G5       38.72      0.9775         nan         nan
img_003/mask_09.png                  8       182      G3       43.73      0.9906         nan         nan
img_003/mask_10.png                  9       180      G2       44.32      0.9904         nan         nan
img_004/mask_01.png                  0       371      G3       46.34      0.9915         nan         nan
img_004/mask_02.png                  1      1338      G5       40.63      0.9834         nan         nan
img_004/mask_03.png                  2       688      G4       37.81      0.9876         nan         nan
img_004/mask_04.png                  3        84      G1       47.43      0.9931         nan         nan
img_004/mask_05.png                  4       171      G2       49.97      0.9951         nan         nan
img_004/mask_06.png                  5        54      G1       48.61      0.9934         nan         nan
img_004/mask_07.png                  6      1329      G4       42.72      0.9872         nan         nan
img_004/mask_08.png                  7      3119      G5       39.14      0.9788         nan         nan
img_004/mask_09.png                  8       182      G3       45.10      0.9913         nan         nan
img_004/mask_10.png                  9       180      G2       46.01      0.9908         nan         nan
img_005/mask_01.png                  0       371      G3       44.71      0.9899         nan         nan
img_005/mask_02.png                  1      1338      G5       39.22      0.9833         nan         nan
img_005/mask_03.png                  2       688      G4       41.88      0.9868         nan         nan
img_005/mask_04.png                  3        84      G1       44.63      0.9914         nan         nan
img_005/mask_05.png                  4       171      G2       46.32      0.9934         nan         nan
img_005/mask_06.png                  5        54      G1       45.26      0.9910         nan         nan
img_005/mask_07.png                  6      1329      G4       40.22      0.9851         nan         nan
img_005/mask_08.png                  7      3119      G5       38.13      0.9751         nan         nan
